Município;;2009;Pop.;2010;Pop.;2011;Pop.;2012;Pop.;2013;Pop.;2014;Pop.;2015;Pop.;2016;Pop.;2017;Pop.;2018;Pop.;Total
CORDEIRÓPOLIS;3512407;8;20.720;9;21085;4;21.348;11;21.607;6;22.648;3;22.945;11;23.234;6;23.517;9; 23.793 ;3;24.221;70
COROADOS;3512506;2;5.250;2;5238;-;5.301;-;5.362;2;5.615;1;5.685;3;5.753;-;5.820;1; 5.885 ;3;5.986;14
CORONEL MACEDO;3512605;-;5.343;-;5001;1;4.956;1;4.913;1;5.009;2;4.965;2;4.922;-;4.881;2; 4.840 ;2;4.728;11
CORUMBATAÍ;3512704;1;4.138;-;3874;1;3.880;1;3.887;1;4.018;1;4.027;-;4.036;1;4.045;1; 4.054 ;-;4.047;7
COSMÓPOLIS;3512803;17;59.297;18;58821;12;59.938;16;61.013;27;64.415;24;65.628;17;66.807;23;67.960;37; 69.086 ;22;70.998;213
COSMORAMA;3512902;3;7.033;-;7214;3;7.202;-;7.191;-;7.404;2;7.396;2;7.388;2;7.381;1; 7.374 ;2;7.316;15
COTIA;3513009;51;182.045;78;201023;74;205.154;69;209.027;66;220.941;78;225.306;87;229.548;89;233.696;89; 237.750 ;93;244.694;774
CRAVINHOS;3513108;3;30.849;4;31688;7;31.943;5;32.187;6;33.543;6;33.831;8;34.110;6;34.384;4; 34.651 ;6;34.998;55
CRISTAIS PAULISTA;3513207;1;7.436;-;7591;-;7.665;2;7.741;-;8.089;2;8.176;1;8.260;-;8.343;-; 8.424 ;1;8.541;7
CRUZÁLIA;3513306;;2.356;;2270;;2.248;;2.224;;2.260;;2.234;;2.209;;2.185;; 2.161 ;;2.100;
CRUZEIRO;3513405;43;79.957;61;77070;45;77.311;46;77.575;34;80.408;36;80.749;27;81.082;32;81.406;24; 81.724 ;35;81.895;383
CUBATÃO;3513504;121;129.582;147;118797;99;119.519;118;120.293;112;125.178;123;126.105;102;127.006;128;127.887;110; 128.748 ;153;129.760;1213
CUNHA;3513603;7;23.735;5;21874;4;21.772;2;21.682;-;22.251;1;22.167;3;22.086;-;22.007;5; 21.929 ;1;21.639;28
DESCALVADO;3513702;9;30.867;6;31053;1;31.220;5;31.379;2;32.595;5;32.790;6;32.980;7;33.165;5; 33.346 ;5;33.520;51
DIADEMA;3513801;164;397.738;150;386039;156;388.575;140;390.980;180;406.718;179;409.613;172;412.428;161;415.180;194; 417.869 ;209;420.934;1705
DIRCE REIS;3513850;-;1.623;-;1689;-;1.694;1;1.699;-;1.760;-;1.766;-;1.772;-;1.779;1; 1.785 ;-;1.786;2
DIVINOLÂNDIA;3513900;2;11.343;-;11209;2;11.146;1;11.086;-;11.604;-;11.547;-;11.492;3;11.437;1; 11.384 ;-;11.208;9
DOBRADA;3514007;-;8.214;1;7941;-;8.011;-;8.080;-;8.432;-;8.513;1;8.592;-;8.669;-; 8.744 ;1;8.846;3
DOIS CÓRREGOS;3514106;4;26.040;3;24768;4;24.933;1;25.100;1;26.126;2;26.324;1;26.517;3;26.706;3; 26.891 ;5;27.112;27
DOLCINÓPOLIS;3514205;-;2.272;1;2096;-;2.092;-;2.088;2;2.148;-;2.145;-;2.142;-;2.139;-; 2.136 ;-;2.119;3
DOURADO;3514304;2;9.131;1;8607;-;8.609;-;8.610;1;8.884;-;8.890;-;8.897;2;8.903;1; 8.909 ;2;8.868;9
DRACENA;3514403;22;44.309;33;43263;31;43.470;32;43.675;25;45.346;37;45.600;39;45.847;34;46.088;46; 46.324 ;53;46.536;352
DUARTINA;3514502;-;12.796;-;12251;-;12.234;3;12.218;4;12.585;5;12.576;4;12.567;6;12.558;5; 12.549 ;8;12.457;35
DUMONT;3514601;2;8.346;-;8143;2;8.284;2;8.421;2;8.874;6;9.028;-;9.178;2;9.325;2; 9.468 ;3;9.708;21
ECHAPORÃ;3514700;1;6.239;2;6318;1;6.279;-;6.242;1;6.389;-;6.352;1;6.316;1;6.281;2; 6.247 ;2;6.141;11
ELDORADO;3514809;3;14.514;4;14645;5;14.680;4;14.718;3;15.238;3;15.289;3;15.339;4;15.388;5; 15.436 ;6;15.443;40
ELIAS FAUSTO;3514908;-;15.312;1;15796;4;15.920;1;16.060;8;16.762;3;16.926;1;17.085;2;17.241;5; 17.393 ;5;17.604;30
ELISIÁRIO;3514924;1;3.317;2;3120;-;3.162;-;3.202;-;3.359;1;3.406;-;3.451;-;3.494;-; 3.537 ;-;3.604;4
EMBAÚBA;3514957;-;2.442;-;2423;-;2.419;-;2.415;1;2.486;1;2.484;-;2.481;-;2.479;-; 2.476 ;-;2.456;2
EMBU;3515004;116;248.722;129;240007;113;242.730;134;245.148;148;256.247;132;259.053;106;261.781;111;264.448;140; 267.054 ;150;270.843;1279
EMBU-GUAÇU;3515103;17;62.137;31;62846;28;63.218;36;63.653;33;66.273;28;66.792;46;67.296;23;67.788;35; 68.270 ;41;68.856;318
EMILIANÓPOLIS;3515129;1;3.184;-;3024;-;3.030;-;3.040;1;3.149;-;3.162;2;3.174;1;3.186;2; 3.197 ;-;3.202;7
ENGENHEIRO COELHO;3515152;2;14.300;4;15719;1;16.158;3;16.580;5;17.681;4;18.153;12;18.611;2;19.059;4; 19.497 ;6;20.284;43
ESPÍRITO SANTO DO PINHAL;3515186;5;42.260;10;41919;6;42.017;5;42.123;10;43.611;9;43.756;14;43.897;10;44.036;8; 44.170 ;8;44.186;85
ESPÍRITO SANTO DO TURVO;3515194;-;4.428;3;4246;3;4.288;4;4.330;1;4.525;-;4.574;-;4.621;1;4.668;1; 4.713 ;1;4.779;14
ESTIVA GERBI;3557303;2;9.657;2;10044;-;10.135;1;10.224;1;10.669;-;10.772;4;10.873;1;10.971;1; 11.067 ;1;11.198;13
ESTRELA DO NORTE;3515301;1;9.042;-;2661;1;2.661;-;2.663;1;2.752;-;2.756;-;2.761;-;2.765;-; 2.769 ;1;8.418;4
